Date,Close,Open,High,Low,Volume,Change %
2018-06-22,7063.2,7092.04,7132.71,6923.67,175300.0,-0.49%
2018-06-25,6986.88,7240.06,7240.06,6986.88,121760.0,-1.08%
2018-06-26,7007.21,7014.05,7021.26,6929.86,115410.0,0.29%
2018-06-27,7176.43,6997.99,7176.43,6984.14,123290.0,2.41%
2018-06-28,7066.57,7128.51,7128.51,7055.63,93000.0,-1.53%
2018-06-29,7193.68,7061.48,7193.68,7061.48,136540.0,1.80%
2018-07-02,7227.96,7184.62,7261.29,7160.83,104020.0,0.48%
2018-07-03,7267.34,7223.04,7267.34,7194.55,70260.0,0.54%
2018-07-04,7348.42,7272.03,7348.42,7227.29,102220.0,1.12%
2018-07-05,7233.57,7306.01,7306.01,7225.07,97300.0,-1.56%
